/Users/shivendra/Desktop/RL_David_Silver/venv/bin/python /Applications/PyCharm.app/Contents/helpers/pydev/pydevconsole.py 59792 59793
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['/Users/shivendra/Desktop/Udacity/AI_Robotics'])
PyDev console: starting.
Python 3.6.5 (v3.6.5:f59c0932b4, Mar 28 2018, 03:03:55) 
[GCC 4.2.1 (Apple Inc. build 5666) (dot 3)] on darwin
runfile('/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe/comp_vs_comp_training.py', wdir='/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe')
Rounds done = 1750000 | Wins = 9669 | Losses = 162
Rounds done = 1760000 | Wins = 9653 | Losses = 206
Rounds done = 1770000 | Wins = 9608 | Losses = 188
Rounds done = 1780000 | Wins = 9629 | Losses = 194
Rounds done = 1790000 | Wins = 9637 | Losses = 167
Rounds done = 1800000 | Wins = 9663 | Losses = 198
Rounds done = 1810000 | Wins = 9734 | Losses = 141
Rounds done = 1820000 | Wins = 9607 | Losses = 190
Rounds done = 1830000 | Wins = 9626 | Losses = 208
Rounds done = 1840000 | Wins = 9680 | Losses = 167
Rounds done = 1850000 | Wins = 9656 | Losses = 198
Rounds done = 1860000 | Wins = 9623 | Losses = 231
Rounds done = 1870000 | Wins = 9588 | Losses = 189
Rounds done = 1880000 | Wins = 9608 | Losses = 173
Rounds done = 1890000 | Wins = 9620 | Losses = 183
Rounds done = 1900000 | Wins = 9534 | Losses = 200
Rounds done = 1910000 | Wins = 9616 | Losses = 194
Rounds done = 1920000 | Wins = 9619 | Losses = 175
Rounds done = 1930000 | Wins = 9628 | Losses = 192
Rounds done = 1940000 | Wins = 9619 | Losses = 172
Rounds done = 1950000 | Wins = 9625 | Losses = 187
Rounds done = 1960000 | Wins = 9684 | Losses = 179
Rounds done = 1970000 | Wins = 9695 | Losses = 158
Rounds done = 1980000 | Wins = 9607 | Losses = 201
Rounds done = 1990000 | Wins = 9547 | Losses = 188
Rounds done = 2000000 | Wins = 9612 | Losses = 156
Rounds done = 2010000 | Wins = 9615 | Losses = 151
Rounds done = 2020000 | Wins = 9674 | Losses = 175
Rounds done = 2030000 | Wins = 9659 | Losses = 212
Rounds done = 2040000 | Wins = 9648 | Losses = 191
Rounds done = 2050000 | Wins = 9622 | Losses = 173
Rounds done = 2060000 | Wins = 9671 | Losses = 201
Rounds done = 2070000 | Wins = 9673 | Losses = 186
Rounds done = 2080000 | Wins = 9638 | Losses = 180
Rounds done = 2090000 | Wins = 9683 | Losses = 185
Rounds done = 2100000 | Wins = 9692 | Losses = 171
Rounds done = 2110000 | Wins = 9676 | Losses = 195
Rounds done = 2120000 | Wins = 9658 | Losses = 165
Rounds done = 2130000 | Wins = 9677 | Losses = 174
Rounds done = 2140000 | Wins = 9698 | Losses = 140
Rounds done = 2150000 | Wins = 9668 | Losses = 169
Rounds done = 2160000 | Wins = 9637 | Losses = 178
Rounds done = 2170000 | Wins = 9624 | Losses = 185
Rounds done = 2180000 | Wins = 9611 | Losses = 200
Rounds done = 2190000 | Wins = 9624 | Losses = 182
Rounds done = 2200000 | Wins = 9594 | Losses = 198
Rounds done = 2210000 | Wins = 9667 | Losses = 171
Rounds done = 2220000 | Wins = 9645 | Losses = 183
Rounds done = 2230000 | Wins = 9675 | Losses = 190
Rounds done = 2240000 | Wins = 9619 | Losses = 199
Rounds done = 2250000 | Wins = 9606 | Losses = 203
Rounds done = 2260000 | Wins = 9653 | Losses = 173
Rounds done = 2270000 | Wins = 9674 | Losses = 159
Rounds done = 2280000 | Wins = 9649 | Losses = 181
Rounds done = 2290000 | Wins = 9684 | Losses = 162
Rounds done = 2300000 | Wins = 9711 | Losses = 145
Rounds done = 2310000 | Wins = 9657 | Losses = 178
Rounds done = 2320000 | Wins = 9706 | Losses = 152
Rounds done = 2330000 | Wins = 9658 | Losses = 169
Rounds done = 2340000 | Wins = 9656 | Losses = 195
Rounds done = 2350000 | Wins = 9676 | Losses = 191
Rounds done = 2360000 | Wins = 9712 | Losses = 155
Rounds done = 2370000 | Wins = 9655 | Losses = 221
Rounds done = 2380000 | Wins = 9672 | Losses = 168
Rounds done = 2390000 | Wins = 9684 | Losses = 177
Rounds done = 2400000 | Wins = 9647 | Losses = 187
Rounds done = 2410000 | Wins = 9596 | Losses = 212
Rounds done = 2420000 | Wins = 9623 | Losses = 207
Rounds done = 2430000 | Wins = 9675 | Losses = 168
Rounds done = 2440000 | Wins = 9702 | Losses = 181
Rounds done = 2450000 | Wins = 9631 | Losses = 221
Rounds done = 2460000 | Wins = 9585 | Losses = 255
Rounds done = 2470000 | Wins = 9628 | Losses = 208
Rounds done = 2480000 | Wins = 9633 | Losses = 193
Rounds done = 2490000 | Wins = 9663 | Losses = 172
Rounds done = 2500000 | Wins = 9657 | Losses = 170
Rounds done = 2510000 | Wins = 9663 | Losses = 171
Rounds done = 2520000 | Wins = 9683 | Losses = 178
Rounds done = 2530000 | Wins = 9678 | Losses = 165
Rounds done = 2540000 | Wins = 9671 | Losses = 180
Rounds done = 2550000 | Wins = 9687 | Losses = 188
Rounds done = 2560000 | Wins = 9565 | Losses = 263
Rounds done = 2570000 | Wins = 9632 | Losses = 205
Rounds done = 2580000 | Wins = 9654 | Losses = 185
Rounds done = 2590000 | Wins = 9639 | Losses = 187
Rounds done = 2600000 | Wins = 9646 | Losses = 164
Rounds done = 2610000 | Wins = 9629 | Losses = 210
Rounds done = 2620000 | Wins = 9631 | Losses = 205
Rounds done = 2630000 | Wins = 9671 | Losses = 181
Rounds done = 2640000 | Wins = 9658 | Losses = 195
Rounds done = 2650000 | Wins = 9591 | Losses = 215
Rounds done = 2660000 | Wins = 9678 | Losses = 163
Rounds done = 2670000 | Wins = 9669 | Losses = 168
Rounds done = 2680000 | Wins = 9677 | Losses = 161
Rounds done = 2690000 | Wins = 9641 | Losses = 200
Rounds done = 2700000 | Wins = 9635 | Losses = 201
Rounds done = 2710000 | Wins = 9647 | Losses = 185
Rounds done = 2720000 | Wins = 9668 | Losses = 152
Rounds done = 2730000 | Wins = 9642 | Losses = 179
Rounds done = 2740000 | Wins = 9681 | Losses = 153
Rounds done = 2750000 | Wins = 9656 | Losses = 184
Rounds done = 2760000 | Wins = 9688 | Losses = 164
Rounds done = 2770000 | Wins = 9702 | Losses = 142
Rounds done = 2780000 | Wins = 9656 | Losses = 175
Rounds done = 2790000 | Wins = 9673 | Losses = 184
Rounds done = 2800000 | Wins = 9682 | Losses = 177
Rounds done = 2810000 | Wins = 9657 | Losses = 198
Rounds done = 2820000 | Wins = 9650 | Losses = 201
Rounds done = 2830000 | Wins = 9690 | Losses = 169
Rounds done = 2840000 | Wins = 9673 | Losses = 183
Rounds done = 2850000 | Wins = 9674 | Losses = 197
Rounds done = 2860000 | Wins = 9714 | Losses = 172
Rounds done = 2870000 | Wins = 9743 | Losses = 160
Rounds done = 2880000 | Wins = 9717 | Losses = 170
Rounds done = 2890000 | Wins = 9691 | Losses = 138
Rounds done = 2900000 | Wins = 9651 | Losses = 184
Rounds done = 2910000 | Wins = 9667 | Losses = 172
Rounds done = 2920000 | Wins = 9614 | Losses = 197
Rounds done = 2930000 | Wins = 9715 | Losses = 170
Rounds done = 2940000 | Wins = 9704 | Losses = 144
Rounds done = 2950000 | Wins = 9684 | Losses = 181
Rounds done = 2960000 | Wins = 9676 | Losses = 146
Rounds done = 2970000 | Wins = 9721 | Losses = 141
Rounds done = 2980000 | Wins = 9729 | Losses = 139
Rounds done = 2990000 | Wins = 9724 | Losses = 147
Rounds done = 3000000 | Wins = 9784 | Losses = 140
Rounds done = 3010000 | Wins = 9723 | Losses = 161
Rounds done = 3020000 | Wins = 9712 | Losses = 134
Rounds done = 3030000 | Wins = 9711 | Losses = 147
Rounds done = 3040000 | Wins = 9727 | Losses = 158
Rounds done = 3050000 | Wins = 9732 | Losses = 158
Rounds done = 3060000 | Wins = 9738 | Losses = 132
Rounds done = 3070000 | Wins = 9726 | Losses = 144
Rounds done = 3080000 | Wins = 9716 | Losses = 158
Rounds done = 3090000 | Wins = 9686 | Losses = 165
Rounds done = 3100000 | Wins = 9668 | Losses = 181
Rounds done = 3110000 | Wins = 9709 | Losses = 170
Rounds done = 3120000 | Wins = 9715 | Losses = 157
Rounds done = 3130000 | Wins = 9720 | Losses = 153
Rounds done = 3140000 | Wins = 9695 | Losses = 168
Rounds done = 3150000 | Wins = 9711 | Losses = 129
Rounds done = 3160000 | Wins = 9703 | Losses = 141
Rounds done = 3170000 | Wins = 9717 | Losses = 156
Rounds done = 3180000 | Wins = 9759 | Losses = 148
Rounds done = 3190000 | Wins = 9723 | Losses = 147
Rounds done = 3200000 | Wins = 9712 | Losses = 158
Rounds done = 3210000 | Wins = 9734 | Losses = 147
Rounds done = 3220000 | Wins = 9716 | Losses = 152
Rounds done = 3230000 | Wins = 9690 | Losses = 166
Rounds done = 3240000 | Wins = 9748 | Losses = 142
Rounds done = 3250000 | Wins = 9737 | Losses = 154
Rounds done = 3260000 | Wins = 9760 | Losses = 135
Rounds done = 3270000 | Wins = 9770 | Losses = 127
Rounds done = 3280000 | Wins = 9739 | Losses = 136
Rounds done = 3290000 | Wins = 9757 | Losses = 134
Rounds done = 3300000 | Wins = 9763 | Losses = 138
Rounds done = 3310000 | Wins = 9762 | Losses = 135
Rounds done = 3320000 | Wins = 9749 | Losses = 151
Rounds done = 3330000 | Wins = 9755 | Losses = 144
Rounds done = 3340000 | Wins = 9755 | Losses = 120
Rounds done = 3350000 | Wins = 9773 | Losses = 142
Rounds done = 3360000 | Wins = 9729 | Losses = 160
Rounds done = 3370000 | Wins = 9711 | Losses = 158
Rounds done = 3380000 | Wins = 9694 | Losses = 166
Rounds done = 3390000 | Wins = 9716 | Losses = 158
Rounds done = 3400000 | Wins = 9720 | Losses = 143
Rounds done = 3410000 | Wins = 9720 | Losses = 151
Rounds done = 3420000 | Wins = 9685 | Losses = 155
Rounds done = 3430000 | Wins = 9690 | Losses = 176
Rounds done = 3440000 | Wins = 9676 | Losses = 167
Rounds done = 3450000 | Wins = 9692 | Losses = 148
Rounds done = 3460000 | Wins = 9718 | Losses = 176
Rounds done = 3470000 | Wins = 9717 | Losses = 165
Rounds done = 3480000 | Wins = 9709 | Losses = 159
Rounds done = 3490000 | Wins = 9731 | Losses = 153
Rounds done = 3500000 | Wins = 9720 | Losses = 172
Rounds done = 3510000 | Wins = 9681 | Losses = 162
Rounds done = 3520000 | Wins = 9720 | Losses = 151
Rounds done = 3530000 | Wins = 9698 | Losses = 142
Rounds done = 3540000 | Wins = 9584 | Losses = 193
Rounds done = 3550000 | Wins = 9677 | Losses = 174
Rounds done = 3560000 | Wins = 9685 | Losses = 181
Rounds done = 3570000 | Wins = 9660 | Losses = 181
Rounds done = 3580000 | Wins = 9691 | Losses = 174
Rounds done = 3590000 | Wins = 9672 | Losses = 172
Rounds done = 3600000 | Wins = 9656 | Losses = 173
Rounds done = 3610000 | Wins = 9670 | Losses = 168
Rounds done = 3620000 | Wins = 9629 | Losses = 183
Rounds done = 3630000 | Wins = 9707 | Losses = 147
Rounds done = 3640000 | Wins = 9619 | Losses = 163
Rounds done = 3650000 | Wins = 9638 | Losses = 186
Rounds done = 3660000 | Wins = 9735 | Losses = 150
Rounds done = 3670000 | Wins = 9675 | Losses = 173
Rounds done = 3680000 | Wins = 9658 | Losses = 210
Rounds done = 3690000 | Wins = 9599 | Losses = 199
Rounds done = 3700000 | Wins = 9614 | Losses = 230
Rounds done = 3710000 | Wins = 9692 | Losses = 180
Rounds done = 3720000 | Wins = 9705 | Losses = 177
Rounds done = 3730000 | Wins = 9670 | Losses = 201
Rounds done = 3740000 | Wins = 9669 | Losses = 175
Rounds done = 3750000 | Wins = 9700 | Losses = 162
Rounds done = 3760000 | Wins = 9660 | Losses = 179
Rounds done = 3770000 | Wins = 9732 | Losses = 152
Rounds done = 3780000 | Wins = 9727 | Losses = 163
Rounds done = 3790000 | Wins = 9692 | Losses = 173
Rounds done = 3800000 | Wins = 9689 | Losses = 175
Rounds done = 3810000 | Wins = 9731 | Losses = 148
Rounds done = 3820000 | Wins = 9711 | Losses = 147
Rounds done = 3830000 | Wins = 9678 | Losses = 179
Rounds done = 3840000 | Wins = 9685 | Losses = 170
Rounds done = 3850000 | Wins = 9729 | Losses = 151
Rounds done = 3860000 | Wins = 9624 | Losses = 178
Rounds done = 3870000 | Wins = 9677 | Losses = 158
Rounds done = 3880000 | Wins = 9651 | Losses = 179
Rounds done = 3890000 | Wins = 9586 | Losses = 189
Rounds done = 3900000 | Wins = 9604 | Losses = 208
Rounds done = 3910000 | Wins = 9669 | Losses = 154
Rounds done = 3920000 | Wins = 9675 | Losses = 162
Rounds done = 3930000 | Wins = 9728 | Losses = 156
Rounds done = 3940000 | Wins = 9663 | Losses = 181
Rounds done = 3950000 | Wins = 9611 | Losses = 228
Rounds done = 3960000 | Wins = 9661 | Losses = 179
Rounds done = 3970000 | Wins = 9676 | Losses = 178
Rounds done = 3980000 | Wins = 9674 | Losses = 173
Rounds done = 3990000 | Wins = 9646 | Losses = 171
Rounds done = 4000000 | Wins = 9666 | Losses = 167
Rounds done = 4010000 | Wins = 9676 | Losses = 186
Rounds done = 4020000 | Wins = 9648 | Losses = 183
Rounds done = 4030000 | Wins = 9669 | Losses = 184
Rounds done = 4040000 | Wins = 9646 | Losses = 187
Rounds done = 4050000 | Wins = 9699 | Losses = 171
Rounds done = 4060000 | Wins = 9667 | Losses = 201
Rounds done = 4070000 | Wins = 9682 | Losses = 181
Rounds done = 4080000 | Wins = 9669 | Losses = 179
Rounds done = 4090000 | Wins = 9699 | Losses = 176
Rounds done = 4100000 | Wins = 9678 | Losses = 189
Rounds done = 4110000 | Wins = 9760 | Losses = 136
Rounds done = 4120000 | Wins = 9734 | Losses = 164
Rounds done = 4130000 | Wins = 9715 | Losses = 175
Rounds done = 4140000 | Wins = 9706 | Losses = 170
Rounds done = 4150000 | Wins = 9718 | Losses = 167
Rounds done = 4160000 | Wins = 9656 | Losses = 175
Rounds done = 4170000 | Wins = 9691 | Losses = 169
Rounds done = 4180000 | Wins = 9699 | Losses = 174
Rounds done = 4190000 | Wins = 9677 | Losses = 136
